timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,ifOutErrors,utilization_pct,label_anomaly
2025-11-17 08:00:00,8352422,7283657,5,2,15.636079530830813,0
2025-11-17 08:05:00,6910689,7179399,5,1,14.090088642219492,0
2025-11-17 08:10:00,9467356,7521282,2,2,16.988638854680616,0
2025-11-17 08:15:00,8980147,7286185,6,0,16.266333610231136,0
2025-11-17 08:20:00,11174561,5718857,4,2,16.89341864373652,0
2025-11-17 08:25:00,9447229,5665576,4,2,15.112805405307933,0
2025-11-17 08:30:00,7755155,7652360,6,4,15.40751638513801,0
2025-11-17 08:35:00,6605762,5328115,1,2,11.933878075490215,0
2025-11-17 08:40:00,9920156,5841270,2,2,15.761426830359127,0
2025-11-17 08:45:00,8523604,6560588,1,3,15.084193102683832,0
2025-11-17 08:50:00,8889005,4794720,0,2,13.683725892062352,0
2025-11-17 08:55:00,8087053,4868870,3,2,12.955924466909568,0
2025-11-17 09:00:00,6000190,5416197,6,2,11.4163883569626,0
2025-11-17 09:05:00,10362361,5005126,1,3,15.367487648811096,0
2025-11-17 09:10:00,9724469,4230444,1,0,13.954914863120136,0
2025-11-17 09:15:00,9332817,7644676,2,2,16.977494387606093,0
2025-11-17 09:20:00,9996043,5633117,3,2,15.62916099043609,0
2025-11-17 09:25:00,7131289,7129099,4,1,14.260389313772698,0
2025-11-17 09:30:00,11953318,5137322,3,4,17.090641354478166,0
2025-11-17 09:35:00,8522026,7475723,4,6,15.997750280618225,0
2025-11-17 09:40:00,9539651,6189680,5,2,15.729332341955807,0
2025-11-17 09:45:00,10119256,5672311,1,2,15.79156759837819,0
2025-11-17 09:50:00,4912711,6160234,4,0,11.072946271783705,0
2025-11-17 09:55:00,11513068,5510087,1,1,17.02315614074388,0
2025-11-17 10:00:00,9084349,7288836,4,1,16.373185314214524,0
2025-11-17 10:05:00,6451131,7398050,1,4,13.849182047257743,0
2025-11-17 10:10:00,8457964,6528444,4,1,14.986408839483984,0
2025-11-17 10:15:00,13094625,6098366,3,2,19.19299193369573,0
2025-11-17 10:20:00,8641726,6775467,3,1,15.417194431383596,0
2025-11-17 10:25:00,6864062,5610956,2,4,12.475018575556632,0
2025-11-17 10:30:00,8752647,6086302,1,5,14.838950098595932,0
2025-11-17 10:35:00,9578058,6829387,4,2,16.40744559594357,0
2025-11-17 10:40:00,8069451,4736153,4,4,12.80560514551963,0
2025-11-17 10:45:00,8095601,6412425,1,1,14.508026734747453,0
2025-11-17 10:50:00,10771613,6467992,1,3,17.23960601297055,0
2025-11-17 10:55:00,10250554,6608258,3,3,16.858813480428495,0
2025-11-17 11:00:00,8991189,6353887,5,0,15.345077264329424,0
2025-11-17 11:05:00,8896434,6255092,1,2,15.151526502757923,0
2025-11-17 11:10:00,9219530,4090768,4,4,13.310298989307604,0
2025-11-17 11:15:00,8349921,6872822,1,4,15.22274406973058,0
2025-11-17 11:20:00,8984809,7772793,3,3,16.757602217773545,0
2025-11-17 11:25:00,9204773,5003351,2,2,14.208125339718475,0
2025-11-17 11:30:00,11215141,4965064,1,3,16.180206233223853,0
2025-11-17 11:35:00,7250279,6774041,0,4,14.02432107779844,0
2025-11-17 11:40:00,10410053,5630433,3,2,16.040487427197704,0
2025-11-17 11:45:00,11509187,4007446,1,1,15.516634191421666,0
2025-11-17 11:50:00,7714653,6682557,4,3,14.397210628478671,0
2025-11-17 11:55:00,9278978,4134185,2,1,13.413164255271878,0
2025-11-17 12:00:00,9377710,5774104,3,1,15.151814921149931,0
2025-11-17 12:05:00,8756694,6489230,3,0,15.245924812873978,0
2025-11-17 12:10:00,8282591,5512680,2,2,13.795272404664862,0
2025-11-17 12:15:00,7500403,7276408,5,2,14.776811944202892,0
2025-11-17 12:20:00,5681923,3639365,0,3,9.321289455396041,0
2025-11-17 12:25:00,9861225,6015999,3,0,15.877225861039385,0
2025-11-17 12:30:00,4091213,5913576,4,2,10.004790273930263,0
2025-11-17 12:35:00,9764570,3803144,1,1,13.567714715558926,0
2025-11-17 12:40:00,10372336,4431951,4,2,14.804287985156023,0
2025-11-17 12:45:00,7450597,5910288,2,2,13.360886530619865,0
2025-11-17 12:50:00,9844254,5862968,3,0,15.707223198162584,0
2025-11-17 12:55:00,10072601,4512824,3,2,14.585426123203762,0
2025-11-17 13:00:00,10074304,6073753,6,4,16.14805743557698,0
2025-11-17 13:05:00,8333229,6625477,4,0,14.958707158120932,0
2025-11-17 13:10:00,9525470,6366959,2,2,15.892430067752347,0
2025-11-17 13:15:00,9303730,6604855,3,4,15.908585585811938,0
2025-11-17 13:20:00,7788607,6126226,5,3,13.914833961158482,0
2025-11-17 13:25:00,8210164,7310244,1,0,15.520409221468572,0
2025-11-17 13:30:00,9973938,4497666,2,1,14.471604568997867,0
2025-11-17 13:35:00,8189688,4743999,2,0,12.933688092738599,0
2025-11-17 13:40:00,9675961,5048657,2,1,14.724618686909036,0
2025-11-17 13:45:00,9142069,6186099,4,3,15.328168337189066,0
2025-11-17 13:50:00,8648628,7121351,8,3,15.769980314920076,0
2025-11-17 13:55:00,9171891,5157522,3,4,14.329414176802368,0
2025-11-17 14:00:00,9511754,6861083,1,5,16.372838045682776,0
2025-11-17 14:05:00,9108536,6792758,4,1,15.90129514022407,0
2025-11-17 14:10:00,9274867,5887042,3,1,15.161909908531177,0
2025-11-17 14:15:00,10038276,5674021,5,1,15.712298391833817,0
2025-11-17 14:20:00,8754141,7071053,4,5,15.82519454055442,0
2025-11-17 14:25:00,9322903,7337877,2,3,16.660780484416993,0
2025-11-17 14:30:00,8716800,6710509,6,0,15.42731036188503,0
2025-11-17 14:35:00,9623502,5411051,1,2,15.034554270925957,0
2025-11-17 14:40:00,8832303,7607253,2,7,16.439556736715925,0
2025-11-17 14:45:00,10084173,5359793,2,1,15.44396699008452,0
2025-11-17 14:50:00,10676432,6104907,2,2,16.781339380701848,0
2025-11-17 14:55:00,6920588,5626353,1,4,12.546941887984284,0
2025-11-17 15:00:00,11109787,7300096,7,3,18.40988400123814,0
2025-11-17 15:05:00,10789114,5184142,1,2,15.97325769377322,0
2025-11-17 15:10:00,7843200,8798317,1,1,16.64151756066043,0
2025-11-17 15:15:00,12605123,8665090,4,2,21.270214192791776,0
2025-11-17 15:20:00,9361425,6435968,3,1,15.797394249406358,0
2025-11-17 15:25:00,9797116,6332340,3,0,16.129457215805097,0
2025-11-17 15:30:00,11565265,8361222,2,3,19.92648739477958,0
2025-11-17 15:35:00,8066462,5788027,4,3,13.854489981705823,0
2025-11-17 15:40:00,7346508,5553328,2,2,12.899836750376044,0
2025-11-17 15:45:00,8516726,5422598,3,1,13.93932506988324,0
2025-11-17 15:50:00,9269549,6868808,1,1,16.13835839881966,0
2025-11-17 15:55:00,9597789,5772091,6,0,15.36988075651079,0
2025-11-17 16:00:00,10064420,6992689,5,3,17.057109915065087,0
2025-11-17 16:05:00,11556402,5126482,4,1,16.682885483739177,0
2025-11-17 16:10:00,7842321,5234534,4,1,13.076856163130945,0
2025-11-17 16:15:00,7186592,3718600,3,0,10.905192341331379,0
2025-11-17 16:20:00,9480205,5543933,4,3,15.024138424743944,0
2025-11-17 16:25:00,8966766,6773564,5,0,15.74033168458096,0
2025-11-17 16:30:00,8896242,4962787,1,3,13.859030388413377,0
2025-11-17 16:35:00,6956418,7122792,2,2,14.079211569417179,0
2025-11-17 16:40:00,10012573,6527737,3,1,16.540311159489793,0
2025-11-17 16:45:00,9986109,4782692,1,5,14.768801816369098,0
2025-11-17 16:50:00,8575767,5711861,5,2,14.287628830886407,0
2025-11-17 16:55:00,13079635,7027439,3,0,20.107074885886934,0
2025-11-17 17:00:00,7223919,5403791,1,3,12.627711233841895,0
2025-11-17 17:05:00,10535636,6181394,2,2,16.717030393382846,0
2025-11-17 17:10:00,8135902,6450840,4,2,14.586742912038106,0
2025-11-17 17:15:00,7718431,6477979,3,3,14.196410130783798,0
2025-11-17 17:20:00,7246082,7068650,7,2,14.314732950876008,0
2025-11-17 17:25:00,10550398,6288872,2,2,16.839270579814944,0
2025-11-17 17:30:00,8091095,4236946,4,1,12.328042223912439,0
