timestamp,latency_ms,jitter_ms,packet_loss_pct,label_degradation
2024-01-01 00:00:00,5.55,1.42,0.0598,0
2024-01-01 00:05:00,5.23,0.95,0.033,0
2024-01-01 00:10:00,5.62,1.33,0.0156,0
2024-01-01 00:15:00,6.06,1.14,0.0287,0
2024-01-01 00:20:00,5.19,1.15,0.0801,0
2024-01-01 00:25:00,5.19,0.71,0.0977,0
2024-01-01 00:30:00,6.1,0.66,0.0306,0
2024-01-01 00:35:00,5.7,1.06,0.0536,0
2024-01-01 00:40:00,5.08,1.16,0.0145,0
2024-01-01 00:45:00,5.59,0.88,0.0156,0
2024-01-01 00:50:00,5.1,0.89,0.0711,0
2024-01-01 00:55:00,5.1,1.22,0.0129,0
2024-01-01 01:00:00,5.46,1.23,0.0142,0
2024-01-01 01:05:00,4.39,1.09,0.0209,0
2024-01-01 01:10:00,4.49,1.27,0.0278,0
2024-01-01 01:15:00,5.08,0.89,0.0285,0
2024-01-01 01:20:00,4.87,1.05,0.0169,0
2024-01-01 01:25:00,5.54,1.46,0.0607,0
2024-01-01 01:30:00,4.94,1.14,0.0593,0
2024-01-01 01:35:00,4.7,1.16,0.02,0
2024-01-01 01:40:00,6.15,1.6,0.0214,0
2024-01-01 01:45:00,5.31,0.86,0.0342,0
2024-01-01 01:50:00,5.47,1.3,0.0318,0
2024-01-01 01:55:00,4.74,1.48,0.0196,0
2024-01-01 02:00:00,5.19,1.09,0.0207,0
2024-01-01 02:05:00,5.53,1.33,0.0186,0
2024-01-01 02:10:00,4.91,0.97,0.0154,0
2024-01-01 02:15:00,5.69,1.03,0.0223,0
2024-01-01 02:20:00,5.22,1.25,0.0332,0
2024-01-01 02:25:00,5.39,1.34,0.0371,0
2024-01-01 02:30:00,5.25,1.41,0.0402,0
2024-01-01 02:35:00,6.49,1.5,0.0194,0
2024-01-01 02:40:00,5.57,1.18,0.0389,0
2024-01-01 02:45:00,5.07,1.44,0.0101,0
2024-01-01 02:50:00,6.03,1.14,0.023,0
2024-01-01 02:55:00,5.02,1.39,0.0416,0
2024-01-01 03:00:00,5.76,1.26,0.0299,0
