timestamp,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,ifOutErrors
2025-11-17 08:00:00,0.2227,0.1942,15.636079530830813,4.5e-05,0,8352422,7283657,5,2
2025-11-17 08:05:00,0.1843,0.1915,14.090088642219492,4.3e-05,0,6910689,7179399,5,1
2025-11-17 08:10:00,0.2525,0.2006,16.988638854680616,2.4e-05,0,9467356,7521282,2,2
2025-11-17 08:15:00,0.2395,0.1943,16.266333610231136,3.7e-05,0,8980147,7286185,6,0
2025-11-17 08:20:00,0.298,0.1525,16.89341864373652,3.6e-05,0,11174561,5718857,4,2
2025-11-17 08:25:00,0.2519,0.1511,15.112805405307933,4e-05,0,9447229,5665576,4,2
2025-11-17 08:30:00,0.2068,0.2041,15.40751638513801,6.5e-05,0,7755155,7652360,6,4
2025-11-17 08:35:00,0.1762,0.1421,11.933878075490217,2.5e-05,0,6605762,5328115,1,2
2025-11-17 08:40:00,0.2645,0.1558,15.761426830359127,2.5e-05,0,9920156,5841270,2,2
2025-11-17 08:45:00,0.2273,0.1749,15.084193102683832,2.7e-05,0,8523604,6560588,1,3
2025-11-17 08:50:00,0.237,0.1279,13.683725892062352,1.5e-05,0,8889005,4794720,0,2
2025-11-17 08:55:00,0.2157,0.1298,12.955924466909568,3.9e-05,0,8087053,4868870,3,2
2025-11-17 09:00:00,0.16,0.1444,11.4163883569626,7e-05,0,6000190,5416197,6,2
2025-11-17 09:05:00,0.2763,0.1335,15.367487648811096,2.6e-05,0,10362361,5005126,1,3
2025-11-17 09:10:00,0.2593,0.1128,13.954914863120136,7e-06,0,9724469,4230444,1,0
2025-11-17 09:15:00,0.2489,0.2039,16.977494387606093,2.4e-05,0,9332817,7644676,2,2
2025-11-17 09:20:00,0.2666,0.1502,15.62916099043609,3.2e-05,0,9996043,5633117,3,2
2025-11-17 09:25:00,0.1902,0.1901,14.260389313772698,3.5e-05,0,7131289,7129099,4,1
2025-11-17 09:30:00,0.3188,0.137,17.090641354478166,4.1e-05,0,11953318,5137322,3,4
2025-11-17 09:35:00,0.2273,0.1994,15.997750280618224,6.3e-05,0,8522026,7475723,4,6
2025-11-17 09:40:00,0.2544,0.1651,15.729332341955809,4.5e-05,0,9539651,6189680,5,2
2025-11-17 09:45:00,0.2698,0.1513,15.79156759837819,1.9e-05,0,10119256,5672311,1,2
2025-11-17 09:50:00,0.131,0.1643,11.072946271783705,3.6e-05,0,4912711,6160234,4,0
2025-11-17 09:55:00,0.307,0.1469,17.02315614074388,1.2e-05,0,11513068,5510087,1,1
2025-11-17 10:00:00,0.2422,0.1944,16.373185314214524,3.1e-05,0,9084349,7288836,4,1
2025-11-17 10:05:00,0.172,0.1973,13.849182047257743,3.6e-05,0,6451131,7398050,1,4
2025-11-17 10:10:00,0.2255,0.1741,14.986408839483984,3.3e-05,0,8457964,6528444,4,1
2025-11-17 10:15:00,0.3492,0.1626,19.19299193369573,2.6e-05,0,13094625,6098366,3,2
2025-11-17 10:20:00,0.2304,0.1807,15.417194431383596,2.6e-05,0,8641726,6775467,3,1
2025-11-17 10:25:00,0.183,0.1496,12.475018575556632,4.8e-05,0,6864062,5610956,2,4
2025-11-17 10:30:00,0.2334,0.1623,14.838950098595932,4e-05,0,8752647,6086302,1,5
2025-11-17 10:35:00,0.2554,0.1821,16.40744559594357,3.7e-05,0,9578058,6829387,4,2
2025-11-17 10:40:00,0.2152,0.1263,12.80560514551963,6.2e-05,0,8069451,4736153,4,4
2025-11-17 10:45:00,0.2159,0.171,14.508026734747451,1.4e-05,0,8095601,6412425,1,1
2025-11-17 10:50:00,0.2872,0.1725,17.23960601297055,2.3e-05,0,10771613,6467992,1,3
2025-11-17 10:55:00,0.2733,0.1762,16.858813480428495,3.6e-05,0,10250554,6608258,3,3
2025-11-17 11:00:00,0.2398,0.1694,15.345077264329424,3.3e-05,0,8991189,6353887,5,0
2025-11-17 11:05:00,0.2372,0.1668,15.151526502757925,2e-05,0,8896434,6255092,1,2
2025-11-17 11:10:00,0.2459,0.1091,13.310298989307604,6e-05,0,9219530,4090768,4,4
2025-11-17 11:15:00,0.2227,0.1833,15.22274406973058,3.3e-05,0,8349921,6872822,1,4
2025-11-17 11:20:00,0.2396,0.2073,16.757602217773545,3.6e-05,0,8984809,7772793,3,3
2025-11-17 11:25:00,0.2455,0.1334,14.208125339718476,2.8e-05,0,9204773,5003351,2,2
2025-11-17 11:30:00,0.2991,0.1324,16.180206233223853,2.5e-05,0,11215141,4965064,1,3
2025-11-17 11:35:00,0.1933,0.1806,14.02432107779844,2.9e-05,0,7250279,6774041,0,4
2025-11-17 11:40:00,0.2776,0.1501,16.040487427197704,3.1e-05,0,10410053,5630433,3,2
2025-11-17 11:45:00,0.3069,0.1069,15.516634191421666,1.3e-05,0,11509187,4007446,1,1
2025-11-17 11:50:00,0.2057,0.1782,14.397210628478671,4.9e-05,0,7714653,6682557,4,3
2025-11-17 11:55:00,0.2474,0.1102,13.413164255271878,2.2e-05,0,9278978,4134185,2,1
2025-11-17 12:00:00,0.2501,0.154,15.151814921149931,2.6e-05,0,9377710,5774104,3,1
2025-11-17 12:05:00,0.2335,0.173,15.245924812873978,2e-05,0,8756694,6489230,3,0
2025-11-17 12:10:00,0.2209,0.147,13.795272404664862,2.9e-05,0,8282591,5512680,2,2
2025-11-17 12:15:00,0.2,0.194,14.776811944202892,4.7e-05,0,7500403,7276408,5,2
2025-11-17 12:20:00,0.1515,0.097,9.32128945539604,3.2e-05,0,5681923,3639365,0,3
2025-11-17 12:25:00,0.263,0.1604,15.877225861039385,1.9e-05,0,9861225,6015999,3,0
2025-11-17 12:30:00,0.1091,0.1577,10.004790273930263,6e-05,0,4091213,5913576,4,2
2025-11-17 12:35:00,0.2604,0.1014,13.567714715558926,1.5e-05,0,9764570,3803144,1,1
2025-11-17 12:40:00,0.2766,0.1182,14.804287985156025,4.1e-05,0,10372336,4431951,4,2
2025-11-17 12:45:00,0.1987,0.1576,13.360886530619863,3e-05,0,7450597,5910288,2,2
2025-11-17 12:50:00,0.2625,0.1563,15.707223198162584,1.9e-05,0,9844254,5862968,3,0
2025-11-17 12:55:00,0.2686,0.1203,14.585426123203762,3.4e-05,0,10072601,4512824,3,2
2025-11-17 13:00:00,0.2686,0.162,16.14805743557698,6.2e-05,0,10074304,6073753,6,4
2025-11-17 13:05:00,0.2222,0.1767,14.958707158120932,2.7e-05,0,8333229,6625477,4,0
2025-11-17 13:10:00,0.254,0.1698,15.892430067752349,2.5e-05,0,9525470,6366959,2,2
2025-11-17 13:15:00,0.2481,0.1761,15.908585585811938,4.4e-05,0,9303730,6604855,3,4
2025-11-17 13:20:00,0.2077,0.1634,13.914833961158482,5.7e-05,0,7788607,6126226,5,3
2025-11-17 13:25:00,0.2189,0.1949,15.520409221468572,6e-06,0,8210164,7310244,1,0
2025-11-17 13:30:00,0.266,0.1199,14.471604568997869,2.1e-05,0,9973938,4497666,2,1
2025-11-17 13:35:00,0.2184,0.1265,12.9336880927386,1.5e-05,0,8189688,4743999,2,0
2025-11-17 13:40:00,0.258,0.1346,14.724618686909036,2e-05,0,9675961,5048657,2,1
2025-11-17 13:45:00,0.2438,0.165,15.328168337189066,4.6e-05,0,9142069,6186099,4,3
2025-11-17 13:50:00,0.2306,0.1899,15.769980314920076,7e-05,0,8648628,7121351,8,3
2025-11-17 13:55:00,0.2446,0.1375,14.329414176802368,4.9e-05,0,9171891,5157522,3,4
2025-11-17 14:00:00,0.2536,0.183,16.372838045682776,3.7e-05,0,9511754,6861083,1,5
2025-11-17 14:05:00,0.2429,0.1811,15.90129514022407,3.1e-05,0,9108536,6792758,4,1
2025-11-17 14:10:00,0.2473,0.157,15.161909908531175,2.6e-05,0,9274867,5887042,3,1
2025-11-17 14:15:00,0.2677,0.1513,15.712298391833816,3.8e-05,0,10038276,5674021,5,1
2025-11-17 14:20:00,0.2334,0.1886,15.82519454055442,5.7e-05,0,8754141,7071053,4,5
2025-11-17 14:25:00,0.2486,0.1957,16.660780484416993,3e-05,0,9322903,7337877,2,3
2025-11-17 14:30:00,0.2324,0.1789,15.42731036188503,3.9e-05,0,8716800,6710509,6,0
2025-11-17 14:35:00,0.2566,0.1443,15.034554270925955,2e-05,0,9623502,5411051,1,2
2025-11-17 14:40:00,0.2355,0.2029,16.439556736715925,5.5e-05,0,8832303,7607253,2,7
2025-11-17 14:45:00,0.2689,0.1429,15.44396699008452,1.9e-05,0,10084173,5359793,2,1
2025-11-17 14:50:00,0.2847,0.1628,16.781339380701848,2.4e-05,0,10676432,6104907,2,2
2025-11-17 14:55:00,0.1845,0.15,12.546941887984284,4e-05,0,6920588,5626353,1,4
2025-11-17 15:00:00,0.2963,0.1947,18.40988400123814,5.4e-05,0,11109787,7300096,7,3
2025-11-17 15:05:00,0.2877,0.1382,15.97325769377322,1.9e-05,0,10789114,5184142,1,2
2025-11-17 15:10:00,0.2092,0.2346,16.64151756066043,1.2e-05,0,7843200,8798317,1,1
2025-11-17 15:15:00,0.3361,0.2311,21.270214192791776,2.8e-05,0,12605123,8665090,4,2
2025-11-17 15:20:00,0.2496,0.1716,15.797394249406358,2.5e-05,0,9361425,6435968,3,1
2025-11-17 15:25:00,0.2613,0.1689,16.129457215805097,1.9e-05,0,9797116,6332340,3,0
2025-11-17 15:30:00,0.3084,0.223,19.92648739477958,2.5e-05,0,11565265,8361222,2,3
2025-11-17 15:35:00,0.2151,0.1543,13.854489981705823,5.1e-05,0,8066462,5788027,4,3
2025-11-17 15:40:00,0.1959,0.1481,12.899836750376044,3.1e-05,0,7346508,5553328,2,2
2025-11-17 15:45:00,0.2271,0.1446,13.93932506988324,2.9e-05,0,8516726,5422598,3,1
2025-11-17 15:50:00,0.2472,0.1832,16.13835839881966,1.2e-05,0,9269549,6868808,1,1
2025-11-17 15:55:00,0.2559,0.1539,15.36988075651079,3.9e-05,0,9597789,5772091,6,0
2025-11-17 16:00:00,0.2684,0.1865,17.057109915065087,4.7e-05,0,10064420,6992689,5,3
2025-11-17 16:05:00,0.3082,0.1367,16.682885483739177,3e-05,0,11556402,5126482,4,1
2025-11-17 16:10:00,0.2091,0.1396,13.076856163130945,3.8e-05,0,7842321,5234534,4,1
2025-11-17 16:15:00,0.1916,0.0992,10.90519234133138,2.8e-05,0,7186592,3718600,3,0
2025-11-17 16:20:00,0.2528,0.1478,15.024138424743944,4.7e-05,0,9480205,5543933,4,3
2025-11-17 16:25:00,0.2391,0.1806,15.74033168458096,3.2e-05,0,8966766,6773564,5,0
2025-11-17 16:30:00,0.2372,0.1323,13.859030388413377,2.9e-05,0,8896242,4962787,1,3
2025-11-17 16:35:00,0.1855,0.1899,14.07921156941718,2.8e-05,0,6956418,7122792,2,2
2025-11-17 16:40:00,0.267,0.1741,16.540311159489793,2.4e-05,0,10012573,6527737,3,1
2025-11-17 16:45:00,0.2663,0.1275,14.768801816369098,4.1e-05,0,9986109,4782692,1,5
2025-11-17 16:50:00,0.2287,0.1523,14.287628830886408,4.9e-05,0,8575767,5711861,5,2
2025-11-17 16:55:00,0.3488,0.1874,20.10707488588693,1.5e-05,0,13079635,7027439,3,0
2025-11-17 17:00:00,0.1926,0.1441,12.627711233841897,3.2e-05,0,7223919,5403791,1,3
2025-11-17 17:05:00,0.281,0.1648,16.717030393382846,2.4e-05,0,10535636,6181394,2,2
2025-11-17 17:10:00,0.217,0.172,14.586742912038106,4.1e-05,0,8135902,6450840,4,2
2025-11-17 17:15:00,0.2058,0.1727,14.196410130783798,4.2e-05,0,7718431,6477979,3,3
